"PURCHASE_ID"	"MEMBER_ID"	"PRODUCT_ID"	"PURCHASE_DATETIME"	"PURCHASE_COUNT"	"PURCHASE_PRICE"	"PAYMENT_COMPLETE_FLG"	"VERSION_NO"
"1"	"5"	"3"	"2006-12-24 23:59:59.000"	"1"	"1800"	"1"	"0"
"2"	"15"	"7"	"2007-11-11 16:16:16.000"	"1"	"1700"	"1"	"0"
"3"	"13"	"3"	"2006-12-23 22:56:29.000"	"1"	"1800"	"1"	"0"
"4"	"2"	"5"	"2007-11-01 02:13:00.000"	"2"	"1700"	"1"	"0"
"5"	"9"	"11"	"2008-01-04 23:12:59.000"	"5"	"1800"	"1"	"0"
"6"	"20"	"2"	"2002-01-01 16:32:01.000"	"1"	"2000"	"1"	"0"
"7"	"19"	"9"	"2006-01-29 00:00:00.000"	"1"	"1000"	"0"	"0"
"8"	"4"	"7"	"2007-11-09 16:23:00.000"	"1"	"1535"	"1"	"0"
"9"	"4"	"10"	"2006-12-22 23:59:59.000"	"20"	"1700"	"1"	"0"
"10"	"2"	"10"	"2007-11-01 02:13:00.000"	"1"	"1700"	"0"	"0"
"11"	"5"	"2"	"2007-11-09 16:23:01.000"	"1"	"1800"	"1"	"0"
"12"	"15"	"2"	"2006-12-22 23:59:12.000"	"1"	"1700"	"1"	"0"
"13"	"13"	"8"	"2007-11-01 02:13:00.000"	"1"	"1800"	"1"	"0"
"14"	"2"	"4"	"2007-11-09 16:23:02.000"	"2"	"1700"	"1"	"0"
"15"	"9"	"11"	"2006-12-22 23:59:32.000"	"5"	"1800"	"1"	"0"
"16"	"20"	"1"	"2007-11-01 02:13:00.000"	"1"	"2000"	"1"	"0"
"17"	"19"	"11"	"2006-12-22 23:59:33.000"	"2"	"1000"	"0"	"0"
"18"	"4"	"10"	"2007-11-01 02:13:00.000"	"1"	"1535"	"1"	"0"
"19"	"4"	"11"	"2007-11-01 02:13:00.000"	"4"	"1700"	"1"	"0"
"20"	"2"	"11"	"2006-12-22 23:59:35.000"	"1"	"1700"	"0"	"0"
"21"	"2"	"15"	"2006-12-22 23:59:35.000"	"1"	"400000"	"0"	"0"
"22"	"3"	"6"	"2007-11-01 02:13:00.000"	"4"	"1800"	"1"	"0"
"23"	"15"	"7"	"2006-12-22 23:59:36.000"	"1"	"1700"	"1"	"0"
"24"	"13"	"3"	"2007-09-11 12:13:00.000"	"1"	"1800"	"1"	"0"
"25"	"16"	"2"	"2006-12-22 23:59:37.000"	"2"	"1700"	"1"	"0"
"26"	"3"	"4"	"2005-12-21 12:13:00.000"	"1"	"1800"	"1"	"0"
"27"	"2"	"8"	"2006-12-22 23:59:38.000"	"1"	"2000"	"1"	"0"
"28"	"6"	"17"	"2007-11-01 02:13:00.000"	"2"	"600"	"0"	"0"
"29"	"4"	"4"	"2006-12-22 23:59:39.000"	"1"	"1535"	"1"	"0"
"30"	"4"	"3"	"2007-11-01 02:13:00.000"	"4"	"1700"	"1"	"0"
