"PURCHASE_PAYMENT_ID"	"PURCHASE_ID"	"PAYMENT_AMOUNT"	"PAYMENT_DATETIME"	"PAYMENT_METHOD_CODE"
"1"	"1"	"1800.00"	"2006-12-25 23:59:59.000"	"BAK"
"2"	"2"	"1700.00"	"2007-11-13 16:16:16.000"	"BAK"
"3"	"3"	"900.00"	"2006-12-23 23:56:29.000"	"CRC"
"4"	"3"	"900.00"	"2006-12-23 23:56:30.000"	"HAN"
"5"	"4"	"1700.00"	"2007-12-01 02:13:00.000"	"HAN"
"6"	"5"	"800.20"	"2008-04-04 23:12:59.000"	"HAN"
"7"	"5"	"1000.90"	"2008-05-04 23:12:59.000"	"CRC"
"8"	"6"	"1000.00"	"2002-01-01 16:32:01.000"	"CRC"
"9"	"6"	"400.80"	"2002-01-01 16:32:01.000"	"CRC"
"10"	"6"	"599.20"	"2002-01-01 16:32:01.000"	"HAN"
"11"	"7"	"300.00"	"2006-01-28 23:59:59.000"	"CRC"
"12"	"8"	"535.50"	"2007-11-09 16:23:00.000"	"BAK"
"13"	"8"	"999.50"	"2014-11-09 16:23:05.000"	"BAK"
"14"	"9"	"1700.00"	"2006-12-22 23:59:59.000"	"BAK"
"15"	"11"	"1799.20"	"2014-11-09 16:23:01.000"	"CRC"
"16"	"11"	"0.80"	"2014-11-09 16:23:01.000"	"HAN"
"17"	"12"	"1690.00"	"2011-12-22 23:59:12.000"	"HAN"
"18"	"12"	"10.00"	"2011-12-22 23:59:12.000"	"CRC"
"19"	"13"	"1800.70"	"2007-11-01 02:13:00.000"	"CRC"
"20"	"14"	"1700.00"	"2008-11-09 16:23:02.000"	"BAK"
"21"	"15"	"300.00"	"2006-12-22 23:59:32.000"	"HAN"
"22"	"15"	"600.00"	"2007-12-22 23:59:32.000"	"BAK"
"23"	"15"	"900.00"	"2008-12-22 23:59:32.000"	"HAN"
"24"	"16"	"2000.00"	"2012-11-01 02:13:00.000"	"BAK"
"25"	"18"	"1535.00"	"2013-11-01 02:13:00.000"	"HAN"
"26"	"19"	"1700.00"	"2007-11-01 02:13:00.000"	"HAN"
"27"	"20"	"5.00"	"2006-12-22 23:59:35.000"	"HAN"
"28"	"21"	"399999.00"	"2006-12-22 23:59:35.000"	"BAK"
"29"	"22"	"1800.00"	"2007-11-01 02:13:00.000"	"BAK"
"30"	"23"	"1700.00"	"2006-12-22 23:59:36.000"	"HAN"
"31"	"23"	"1700.00"	"2006-12-22 23:59:36.000"	"HAN"
"32"	"23"	"1700.00"	"2006-12-22 23:59:36.000"	"HAN"
"33"	"24"	"1000.00"	"2012-09-11 12:13:00.000"	"BAK"
"34"	"24"	"800.00"	"2015-09-11 12:13:00.000"	"BAK"
"35"	"25"	"1700.00"	"2013-12-22 23:59:37.000"	"BAK"
"36"	"26"	"1800.00"	"2005-12-21 12:13:00.000"	"BAK"
"37"	"27"	"2000.00"	"2006-12-22 23:59:38.000"	"HAN"
"38"	"28"	"600.00"	"2007-11-01 02:13:00.000"	"BAK"
"39"	"29"	"1535.00"	"2006-12-22 23:59:39.000"	"BAK"
"40"	"30"	"100.00"	"2010-09-01 02:13:00.000"	"HAN"
"41"	"30"	"200.00"	"2011-10-31 02:13:00.000"	"CRC"
"42"	"30"	"300.75"	"2012-11-01 02:13:00.000"	"CRC"
"43"	"30"	"400.25"	"2013-12-01 02:13:00.000"	"HAN"
"44"	"30"	"300.00"	"2014-09-01 02:13:00.000"	"HAN"
"45"	"30"	"700.00"	"2014-10-01 02:13:00.000"	"HAN"
"46"	"31"	"1700.85"	"2006-12-22 23:59:40.000"	"HAN"
"47"	"32"	"1800.00"	"2009-12-28 12:13:10.000"	"HAN"
"48"	"33"	"1700.00"	"2006-12-22 23:59:41.000"	"CRC"
"49"	"34"	"1800.00"	"2007-05-21 12:13:00.000"	"BAK"
"50"	"35"	"2000.00"	"2006-12-12 23:59:42.000"	"CRC"
"51"	"36"	"300.10"	"2012-05-01 02:13:00.000"	"CRC"
"52"	"36"	"300.80"	"2013-05-01 02:13:00.000"	"HAN"
"53"	"36"	"300.25"	"2014-05-01 02:13:00.000"	"HAN"
"54"	"37"	"1535.00"	"2006-12-12 23:59:43.000"	"HAN"
"55"	"38"	"1700.00"	"2007-05-01 02:03:00.000"	"HAN"
"56"	"40"	"128.00"	"2007-05-01 12:13:00.000"	"BAK"
"57"	"40"	"256.00"	"2013-05-01 12:13:00.000"	"BAK"
"58"	"40"	"512.00"	"2009-05-01 12:13:00.000"	"CRC"
"59"	"41"	"1700.00"	"2007-11-01 02:13:00.000"	"HAN"
"60"	"42"	"30000000.00"	"2014-03-22 21:59:40.000"	"HAN"
"61"	"43"	"1800.00"	"2006-12-28 12:13:10.000"	"BAK"
"62"	"44"	"1700.00"	"2006-12-22 23:59:41.000"	"BAK"
"63"	"45"	"1800.00"	"2007-05-21 12:13:00.000"	"CRC"
"64"	"46"	"2000.00"	"2010-12-12 23:59:42.000"	"BAK"
"65"	"48"	"90000.00"	"2006-12-12 23:59:43.000"	"HAN"
"66"	"48"	"10000.00"	"2006-12-12 23:59:43.000"	"BAK"
"67"	"49"	"1700.66"	"2007-05-01 02:03:00.000"	"HAN"
"68"	"51"	"1700.00"	"2007-11-21 02:13:00.000"	"BAK"
"69"	"52"	"100.00"	"2006-12-23 23:59:40.000"	"BAK"
